"","Lacz.1","Lacz.2","Lacz.3","Yap.1","Yap.2","Yap.3"
"ENSMUSG00000025915_Sgk3",6.17976745601861,6.11053456874028,6.20890973532606,6.06983545824431,6.06405560041611,5.76980451166895
"ENSMUSG00000046101_Mcmdc2",-0.206087736120961,-0.513826184603556,0.0438601666587705,-1.89232375385951,-1.4005306683422,-1.29072197069812
"ENSMUSG00000098234_Snhg6",1.50669130612408,1.48228317685335,1.74793760728644,1.57036297644228,1.30674855698102,0.94506002337938
"ENSMUSG00000025916_Ppp1r42",-1.67129532855683,-1.4948150157322,-1.25980232505443,-1.43314330589153,-1.33218101607227,-1.82434358176011
"ENSMUSG00000025917_Cops5",4.37874513009406,4.17135288094294,4.37803238479403,3.83554329852303,3.78216394811261,3.56168551066355
"ENSMUSG00000056763_Cspp1",5.74880497384451,5.84524549154055,5.85054356916279,5.72077939119871,5.74317840099112,5.71809610287175
"ENSMUSG00000067851_Arfgef1",7.15265363158293,7.10469652292971,7.18312802783338,6.75752865523709,6.7592715345585,6.52544952323441
"ENSMUSG00000042501_Cpa6",-0.00974930636223656,-0.432427581960088,-0.582265034924,-0.683393143958046,-0.611637478758361,-1.04521539500534
"ENSMUSG00000048960_Prex2",1.53055452165517,2.08995666692793,1.99442172154708,2.05518199368651,2.607440818782,1.86552080148794
"ENSMUSG00000057715_A830018L16Rik",-0.860047923483463,-0.393388142353291,-0.881619672190195,-0.654449684765339,-0.162683221085243,-0.710875111819723
"ENSMUSG00000016918_Sulf1",4.20921374661948,4.25819742671139,4.59079513337737,3.6666296487879,4.68799027836488,4.06166615370468
"ENSMUSG00000025938_Slco5a1",8.26235139752726,8.17014641452289,8.14093307017429,8.11538154618287,7.94689815030635,7.68852533049745
"ENSMUSG00000005886_Ncoa2",8.24427627682851,8.11452137591001,8.16163737865169,7.96160010780278,7.94453230228138,7.73462356984742
"ENSMUSG00000025935_Tram1",3.37531716621749,3.24813598535252,3.35295072204661,3.28295370773458,3.50464636049824,3.00753818435012
"ENSMUSG00000025937_Lactb2",6.54157758036971,6.47202374071935,6.56659689898084,5.90856858713119,5.75402722363067,5.5508245000239
"ENSMUSG00000025932_Eya1",8.19294103768916,8.13417240566623,8.17575580516684,7.92723425520453,7.79055004877199,7.56234624705396
"ENSMUSG00000054493_Gm9947",-1.99549889796564,-1.4948150157322,-0.915276892545291,-0.938573098890089,-0.494950136832151,-0.80330138166241
"ENSMUSG00000092083_Kcnb2",0.700587309946159,0.497495462070505,0.863426936784677,-0.773879643855086,0.334469383296212,0.0219848681513622
"ENSMUSG00000025925_Terf1",4.8853399851397,4.93638977540199,4.80423596213696,4.64033810119863,4.57906490320579,4.54979090345243
"ENSMUSG00000104379_Gm37509",1.19450471881539,1.05832158345255,1.244913697005,0.566354221546655,0.619720295603339,0.298888362215333
"ENSMUSG00000043716_Rpl7",2.38598396970922,2.56658549474737,2.71430906203701,2.41058247714433,2.45137706301604,2.17907553537543
"ENSMUSG00000025921_Rdh10",4.67304927653793,4.72202852990248,4.70319307703809,4.22246231368863,4.30100244847995,3.91103854071882
"ENSMUSG00000104165_Gm38249",-2.29768919478205,-2.72194631137687,-2.12113305581742,-1.89232375385951,-1.26692357647734,-2.27548299002537
"ENSMUSG00000025920_Stau2",8.26479873370802,8.25226094918792,8.23052648198942,8.44286130901467,8.50851318774188,8.37886289796189
"ENSMUSG00000025939_Ube2w",6.28639351120792,6.40578161659093,6.37279113366601,5.91763201099211,5.96778867288922,5.82391384264598
"ENSMUSG00000079658_Eloc",4.51954399960874,4.65377407335,4.58177528297581,4.39245807575481,4.45278877165172,4.26500653069789
"ENSMUSG00000025940_Tmem70",3.7212586519629,3.90781616687028,3.86396760736039,3.61556047320558,3.61045799829501,3.38272714384591
"ENSMUSG00000025779_Ly96",0.643372409572278,0.0925110976627303,0.329009018756369,1.1943263182335,1.35936466743997,0.96387681005573
"ENSMUSG00000101640_Gm28376",3.92104126380817,3.6888246608831,3.68320789528695,4.20972836521093,3.63627443897957,4.41612330948955
"ENSMUSG00000042686_Jph1",11.2233230475038,11.3818155008848,11.4866878288242,10.9120047000715,10.9012243971594,10.9523167378893
"ENSMUSG00000100110_Gm28783",4.28013839135547,3.99131371461136,4.24913191654737,3.19424501612821,2.65030332006241,2.49265092645486
"ENSMUSG00000025777_Gdap1",5.83317609641655,5.73339609232347,5.55538395877557,5.73998201837234,5.11949062966524,5.04390028471972
